BƏH-BƏH	nida.;
BƏHADİR	f.;is.;
BƏHADİRANƏ	zer.;
BƏHANƏ	is.;
BƏHANƏLİ	sif.;
BƏHANƏPƏRDAZ	sif.;
BƏHANƏSİZ	sif.;
BƏHANƏÇİ	is.;
BƏHANƏÇİLİK	is.;
BƏHARİSTAN	is.;
BƏHAİ	is.;
BƏHAİLİK	is.;
BƏHCƏT	is.;
BƏHR	is.;
BƏHRİ	sif.;
BƏHRİ-TƏVİL	ed.;is.;
BƏHRİYYUN	is.;
BƏHRİYYƏLİ	sif.;
BƏHRİYYƏÇİ	is.;
BƏHRƏ	is.;
BƏHRƏLİ	sif.;
BƏHRƏLƏN	f.;
BƏHRƏLƏNMƏ	f.;is.;
BƏHRƏLƏNMƏK	f.;
BƏHRƏSİZ	sif.;
BƏHRƏSİZLİK	is.;
BƏHRƏVƏR	is.;
BƏHRƏYAB	sif.;
BƏHS	is.;
BƏHSLƏŞ	f.;
BƏHSLƏŞMƏ	f.;
BƏHSLƏŞMƏK	f.;
BƏHSƏBƏHS	is.;zer.;
BƏHƏM	sif.;
BƏHƏR	is.;
BƏHƏRHAL	zer.;
BƏHƏRLİ	sif.;
BƏHƏRLİLİK	is.;
BƏHƏRSİZ	sif.;
BƏHƏRSİZLİK	is.;
