DÖŞ	zer.;is.;
DÖŞ-BAŞ	is.;
DÖŞ-DÖŞƏ	zer.;
DÖŞ-KÖRPÜCÜK	is.;
DÖŞ-QABIRĞA	is.;
DÖŞ-QARIN	is.;
DÖŞ-SÜMÜKALTI	is.;
DÖŞ-SÜMÜKÜSTÜ	is.;
DÖŞ-ÜRƏK	is.;
DÖŞALTI	sif.;
DÖŞARASI	is.;
DÖŞARXASI	is.;
DÖŞBAĞI	is.;
DÖŞBƏDÖŞ	sif.;
DÖŞDAXİLİ	sif.;
DÖŞDƏN	zer.;
DÖŞDƏYMİŞ	sif.;
DÖŞGƏLMƏSİ	f.;
DÖŞLÜ	sif.;
DÖŞLÜK	is.;
DÖŞLÜKLÜ	sif.;
DÖŞLƏ	f.;
DÖŞLƏMƏ	f.;
DÖŞLƏMƏK	f.;
DÖŞLƏŞ	f.;
DÖŞLƏŞMƏ	f.;
DÖŞLƏŞMƏK	f.;
DÖŞOTU	is.;
DÖŞYANI	is.;
DÖŞÜAÇIQ	sif.;zer.;
DÖŞÜDOLU	sif.;
DÖŞÜDOLULUQ	is.;
DÖŞÜDOLUSU	zer.;
DÖŞÜODLU	sif.;
DÖŞÜODLULUQ	is.;
DÖŞÜQARA	sif.;
DÖŞÜR	f.;
DÖŞÜRMƏ	f.;
DÖŞÜRMƏK	f.;
DÖŞÜRÜL	f.;
DÖŞÜRÜLMƏ	f.;
DÖŞÜRÜLMƏK	f.;
DÖŞÜSTÜ	is.;
DÖŞÜTİLLİ	sif.;
DÖŞÜUŞAQLI	sif.;
DÖŞÜYASTI	sif.;
DÖŞÜZƏİF	sif.;
DÖŞİÇİ	is.;
DÖŞƏBAXAR	sif.;
DÖŞƏK	is.;
DÖŞƏKAĞI	is.;
DÖŞƏKAĞILIQ	sif.;
DÖŞƏKCƏ	is.;
DÖŞƏKLİK	sif.;
DÖŞƏKVARI	sif.;
DÖŞƏKÇİ	is.;
DÖŞƏKÇƏ	is.;
DÖŞƏKÜZÜ	is.;
DÖŞƏKÜZÜLÜK	sif.;
DÖŞƏLİ	sif.;
DÖŞƏMƏ	f.;
DÖŞƏMƏ	is.;
DÖŞƏMƏALTI	is.;
DÖŞƏMƏDÜZƏLDƏN	is.;
DÖŞƏMƏK	f.;
DÖŞƏMƏLİ	sif.;
DÖŞƏMƏLİ	sif.;
DÖŞƏMƏLİK	sif.;
DÖŞƏMƏLİK	sif.;
DÖŞƏMƏPLOV	is.;
DÖŞƏMƏSALAN	is.;
DÖŞƏMƏSÜRTƏN	is.;
DÖŞƏMƏSİLƏN	is.;
DÖŞƏMƏVARI	is.;
DÖŞƏMƏYUYAN	is.;
DÖŞƏMƏÇİ	is.;
DÖŞƏMƏÇİLİK	is.;
DÖŞƏN	f.;
DÖŞƏNMİŞ	f.;
DÖŞƏNMƏ	f.;
DÖŞƏNMƏK	f.;
DÖŞƏNTİ	is.;
DÖŞƏNİL	f.;
DÖŞƏNİLMƏ	f.;
DÖŞƏNİLMƏK	f.;
DÖŞƏNƏCƏK	is.;
DÖŞƏNƏCƏKLİ	sif.;
DÖŞƏNƏK	is.;
DÖŞƏNƏKLİ	sif.;
DÖŞƏT	f.;
DÖŞƏTDİR	f.;
DÖŞƏTDİRMƏ	f.;
DÖŞƏTDİRMƏK	f.;
DÖŞƏTDİRİL	f.;
DÖŞƏTDİRİLMƏ	f.;
DÖŞƏTDİRİLMƏK	f.;
DÖŞƏTMƏ	f.;
DÖŞƏTMƏK	f.;
DÖŞƏYATAN	sif.;
