DÜZ	sif.;zer.;f.;
DÜZ-DOĞRU	zer.;
DÜZ-DÜNYA	is.;
DÜZ-DÜZYANA	zer.;
DÜZ-DÜZÜNƏ	zer.;
DÜZ-ƏMƏLLİ	sif.;zer.;
DÜZAXAN	is.;
DÜZAXIMLI	sif.;
DÜZAĞIZLI	sif.;
DÜZBAĞIRSAQ	is.;
DÜZBUCAQ	is.;
DÜZBUCAQLI	sif.;
DÜZBUCAQVARI	sif.;
DÜZBUCAQŞƏKİLLİ	sif.;
DÜZBİÇİMLİ	sif.;
DÜZBƏDÜZ	zer.;
DÜZCIZIQLI	sif.;
DÜZCƏ	sif.;zer.;
DÜZDALĞALI	sif.;
DÜZDAMARLI	sif.;
DÜZDOĞUŞ	is.;
DÜZDÜR	f.;
DÜZDÜRMƏ	f.;
DÜZDÜRMƏK	f.;
DÜZDÜRT	f.;
DÜZDÜRTMƏ	f.;
DÜZDÜRÜL	f.;
DÜZDÜRÜLMƏ	f.;
DÜZDÜRÜLMƏK	f.;
DÜZDİŞLİ	sif.;
DÜZDƏN-DÜZƏ	zer.;
DÜZGÖRMƏ	f.;
DÜZGÖVDƏLİ	sif.;
DÜZGÖVDƏLİLİK	is.;
DÜZGÜ	is.;
DÜZGÜN	sif.;zer.;
DÜZGÜNLÜK	is.;
DÜZGÜNLƏŞ	f.;
DÜZGÜNLƏŞDİR	f.;
DÜZGÜNLƏŞDİRMƏ	f.;
DÜZGÜNLƏŞDİRMƏK	f.;
DÜZGÜNLƏŞDİRİL	f.;
DÜZGÜNLƏŞDİRİLMƏ	f.;
DÜZGÜNLƏŞDİRİLMƏK	f.;
DÜZGÜNLƏŞMƏ	f.;
DÜZGÜNLƏŞMƏK	f.;
DÜZGÜRƏKLİ	sif.;
DÜZLÜK	is.;
DÜZLƏ	f.;
DÜZLƏMƏ	f.;
DÜZLƏMƏK	f.;
DÜZLƏN	f.;
DÜZLƏNDİR	f.;
DÜZLƏNDİRMƏ	f.;
DÜZLƏNDİRMƏK	f.;
DÜZLƏNDİRİCİ	is.;
DÜZLƏNDİRİL	f.;
DÜZLƏNDİRİLMƏ	f.;
DÜZLƏNDİRİLMƏK	f.;
DÜZLƏNMƏ	f.;
DÜZLƏNMƏK	f.;
DÜZLƏŞ	f.;
DÜZLƏŞDİR	f.;
DÜZLƏŞDİRMƏ	f.;
DÜZLƏŞDİRMƏK	f.;
DÜZLƏŞDİRİL	f.;
DÜZLƏŞDİRİLMƏ	f.;
DÜZLƏŞDİRİLMƏK	f.;
DÜZLƏŞMƏ	f.;
DÜZLƏŞMƏK	f.;
DÜZMƏ	f_is.;
DÜZMƏK	f.;
DÜZNƏQULU	zer.;
DÜZOXLU	sif.;
DÜZOXLULUQ	is.;
DÜZQAMƏT	is.;
DÜZQAMƏT(Lİ)	sif.;
DÜZQAMƏTLİ	sif.;
DÜZQAMƏTLİLİK	is.;
DÜZQANADLI	sif.;
DÜZQANADLILAR	is.;
DÜZQATLI	sif.;
DÜZQUYRUQ	is.;
DÜZQUYRUQLU	sif.;
DÜZQƏLBLİ	sif.;
DÜZQƏLBLİLİK	is.;
DÜZTEZLİKLİ	sif.;
DÜZTUTUMLU	sif.;
DÜZTİKİŞLİ	sif.;
DÜZVURAN	sif.;
DÜZVURANLIQ	is.;
DÜZXƏTLİ	sif.;
DÜZXƏTLİK	is.;
DÜZXƏTLİLİK	is.;
DÜZYONUŞ	is.;
DÜZYONUŞÇU	is.;
DÜZÜ	is.;
DÜZÜCÜ	is.;
DÜZÜL	f.;
DÜZÜLLƏ	f.;
DÜZÜLLƏMƏ	f.;
DÜZÜLMƏ	f.;
DÜZÜLMƏK	f.;
DÜZÜLÜ	sif.;
DÜZÜLÜŞ	is.;
DÜZÜLÜŞMƏ	f.;
DÜZÜLÜŞMƏK	f.;
DÜZÜM	is.;
DÜZÜNƏ	zer.;
DÜZÜRƏKLİ	sif.;
DÜZÜRƏKLİLİK	is.;
DÜZÜŞ	is.;
DÜZÜŞDÜR	f.;
DÜZÜŞDÜRMƏ	f.;
DÜZÜŞDÜRMƏK	f.;
DÜZÜŞMƏ	f.;
DÜZÜŞMƏK	f.;
DÜZƏK	is.;
DÜZƏKLİ	sif.;
DÜZƏL	f.;
DÜZƏLDİCİ	sif.;
DÜZƏLDİL	f.;
DÜZƏLDİLMƏ	f.;
DÜZƏLDİLMƏK	f.;
DÜZƏLDİLMƏZ	sif.;
DÜZƏLDİLMƏZLİK	is.;
DÜZƏLDƏN	is.;
DÜZƏLMƏ	f.;
DÜZƏLMƏK	f.;
DÜZƏLMƏZ	sif.;
DÜZƏLMƏZLİK	is.;
DÜZƏLT	f.;
DÜZƏLTDİR	f.;
DÜZƏLTDİRMƏ	f.;
DÜZƏLTDİRMƏK	f.;
DÜZƏLTDİRİL	f.;
DÜZƏLTDİRİLMƏ	f.;
DÜZƏLTDİRİLMƏK	f.;
DÜZƏLTMƏ	f.;sif.;zer.;
DÜZƏLTMƏK	f.;
DÜZƏLİŞ	is.;
DÜZƏLİŞDİR	f.;
DÜZƏLİŞDİRMƏ	f.;
DÜZƏLİŞDİRMƏK	f.;
DÜZƏLİŞMƏ	f.;
DÜZƏLİŞMƏK	f.;
DÜZƏLİŞVERMƏ	f.;
DÜZƏN	is.;
DÜZƏNGAH	is.;
DÜZƏNGAHLIQ	is.;
DÜZƏNGİ	is.;
DÜZƏNLİK	is.;
DÜZƏNMƏ	f.;
DÜZƏNMƏK	f.;
