EYN	f.;is.;
EYNİ	f.;
EYNİADLI	sif.;
EYNİADLILIQ	is.;
EYNİAÇIQ	sif.;
EYNİAÇIQLIQ	is.;
EYNİBÖYÜKLÜKLƏ	f.;
EYNİBİÇİMLİ	sif.;
EYNİBİÇİMLİLİK	is.;
EYNİCİNSLİ	sif.;
EYNİCİNSLİLİK	is.;
EYNİKÖKLÜ	sif.;
EYNİLİK	is.;
EYNİLƏ	f.;
EYNİLƏŞ	f.;
EYNİLƏŞDİR	f.;
EYNİLƏŞDİRMƏ	f.;
EYNİLƏŞDİRMƏK	f.;
EYNİLƏŞDİRİL	f.;
EYNİLƏŞDİRİLMƏ	f.;
EYNİLƏŞDİRİLMƏK	f.;
EYNİLƏŞMƏ	f.;
EYNİLƏŞMƏK	f.;
EYNİMARKALI	sif.;
EYNİMƏ	f_is.;
EYNİMƏK	f.;
EYNİMƏNALI	sif.;
EYNİMƏNALILIQ	is.;
EYNİMƏZMUNLU	sif.;
EYNİMƏZMUNLULUQ	is.;
EYNİOXLU	sif.;
EYNİOXLULUQ	is.;
EYNİOXSUZ	sif.;
EYNİOXSUZLUQ	is.;
EYNİQİYMƏTLİ	sif.;
EYNİQİYMƏTLİLİK	is.;
EYNİSİQNALLI	sif.;
EYNİTEZLİKLİ	sif.;
EYNİTİPLİ	sif.;
EYNİVAXTLI	sif.;
EYNİVAXTLILIQ	is.;
EYNİXASSƏLİ	sif.;
EYNİXASİYYƏTLİ	sif.;
EYNİXASİYYƏTLİLİK	is.;
EYNİYAŞLI	sif.;
EYNİYAŞLILIQ	is.;
EYNİYOLLU	sif.;
EYNİYYƏT	is.;
EYNİZAMANLI	sif.;
EYNİZAMANLILIQ	is.;
EYNİÖLÇÜLÜ	sif.;
EYNİÖLÇÜLÜLÜK	is.;
EYNİŞƏKİLLİ	sif.;
EYNƏK	is.;
EYNƏKLİ	sif.;
EYNƏKÇİ	is.;
EYNƏN	f.;
