GEN	f.;is.;sif.;zer.;
GEN-BOL	zer.;sif.;
GEN-BOLLUQ	is.;
GENBALAQ	is.;
GENBALAQ(LI)	sif.;
GENBALAQLI	sif.;
GENCƏ	sif.;
GENCƏRGƏLİ	sif.;
GENDER	is.;
GENDERŞÜNAS	is.;
GENDERŞÜNASLIQ	is.;
GENDÖŞ	sif.;
GENDÖŞLÜ	sif.;
GENDÖŞLÜLÜK	is.;
GENDƏDUR	is.;
GENDƏN	is.;
GENDƏN-GENƏ	zer.;
GENEFOND	is.;
GENEKALOGİYA	is.;
GENERAL	is.;
GENERAL-ADMİRAL	is.;
GENERAL-ADYUTANT	is.;
GENERAL-ANŞEF	is.;
GENERAL-BAS	is.;
GENERAL-DİREKTOR	is.;
GENERAL-FELDMARŞAL	is.;
GENERAL-KAPİTAN	is.;
GENERAL-KOMİSSAR	is.;
GENERAL-LEYTENANT	is.;
GENERAL-LEYTENANTLIQ	is.;
GENERAL-MAYOR	is.;
GENERAL-MAYORLUQ	is.;
GENERAL-POLKOVNİK	is.;
GENERAL-POLKOVNİKLİK	is.;
GENERAL-PORUÇİK	is.;
GENERAL-PROKUROR	is.;
GENERAL-QUBERNATORLUQ	is.;
GENERALLIQ	is.;
GENERATOR	is.;
GENERATORLU	sif.;
GENERATİV	sif.;
GENETİK	sif.;
GENETİK	sif.;
GENETİK-AVTOMATİK	sif.;
GENETİK-MOLEKULYAR	is.;
GENETİK-MİNERALOGİYA	is.;
GENETİK-RİYAZİ	sif.;
GENETİK-SELEKSİYAÇI	is.;
GENETİKA	is.;
GENEZ	is.;
GENGÖTÜRÜMLÜ	sif.;
GENKÖÇÜRMƏ	f.;
GENKÜRƏK(Lİ)	sif.;
GENLİK	is.;
GENMUTATOR	is.;
GENOFOND	is.;
GENOM	is.;
GENOTİP	is.;
GENOTİPİK	sif.;
GENTUMAN	is.;
GENTUMAN(LI)	sif.;
GENTUMANLI	sif.;
GENTUTUMLU	sif.;
GENTƏHƏR	sif.;
GENTƏHƏRLİK	is.;
GENİT	f.;
GENİTMƏ	f.;
GENİŞ	zer.;sif.;
GENİŞALINLI	sif.;
GENİŞCƏ	sif.;
GENİŞDİAPAZONLU	sif.;
GENİŞEKRANLI	sif.;
GENİŞFORMATLI	sif.;
GENİŞGEDİŞLİ	sif.;
GENİŞHƏCMLİ	sif.;
GENİŞKÖKSLÜ	sif.;
GENİŞLİK	is.;
GENİŞLƏ	f.;
GENİŞLƏDİL	f.;
GENİŞLƏDİLMƏ	f.;
GENİŞLƏDİLMƏK	f.;
GENİŞLƏMƏ	f.;
GENİŞLƏN	f.;
GENİŞLƏNDİR	f.;
GENİŞLƏNDİRMƏ	f.;
GENİŞLƏNDİRMƏK	f.;
GENİŞLƏNDİRİCİ	sif.;
GENİŞLƏNDİRİL	f.;
GENİŞLƏNDİRİLMƏ	f.;
GENİŞLƏNDİRİLMƏK	f.;
GENİŞLƏNMƏ	f.;
GENİŞLƏNMƏK	f.;
GENİŞLƏT	f.;
GENİŞLƏTDİRMƏ	f.;
GENİŞLƏTDİRMƏK	f.;
GENİŞLƏTMƏ	f.;
GENİŞLƏTMƏK	f.;
GENİŞMİQYASLI	sif.;
GENİŞOTAQLI	sif.;
GENİŞPROFİLLİ	sif.;
GENİŞQƏLB(Lİ)LİK	is.;
GENİŞQƏLBLİ	sif.;
GENİŞQƏLBLİLİK	is.;
GENİŞTƏMAYÜLLÜ	sif.;
GENİŞÖLÇÜLÜ	sif.;
GENİŞÜRƏKLİ	sif.;
GENİŞÜRƏKLİLİK	is.;
GENƏ	f.;
GENƏBƏNZƏR	sif.;
GENƏL	f.;
GENƏLDİCİ	is.;
GENƏLDİL	f.;
GENƏLDİLMƏ	f.;
GENƏLDİLMƏK	f.;
GENƏLMƏ	f.;
GENƏLMƏK	f.;
GENƏLT	f.;
GENƏLTDİR	f.;
GENƏLTDİRMƏ	f.;
GENƏLTDİRMƏK	f.;
GENƏLTDİRİL	f.;
GENƏLTDİRİLMƏ	f.;
GENƏLTMƏ	f.;
GENƏLTMƏK	f.;
GENƏTƏKLİ	sif.;
