GÖZ	f.;is.;
GÖZ-GÖZ	sif.;zer.;
GÖZ-GÖZƏ	zer.;
GÖZ-NƏZƏR	is.;
GÖZ-QAŞ	top.;
GÖZALDADAN	is.;
GÖZALDADICI	sif.;
GÖZALTI	is.;zer.;
GÖZALTILA	f.;
GÖZALTILAMA	f_is.;
GÖZALTILAMAQ	is.;zer.;
GÖZAYDINLAMA	is.;
GÖZAYDINLAMAQ	f.;
GÖZAYDINLAŞMA	f_is.;
GÖZAYDINLAŞMAQ	qars.;
GÖZAYDINLIĞI	is.;
GÖZAĞI	is.;
GÖZAĞRISI	is.;
GÖZBAĞLAYICI	is.;
GÖZBAĞLAYICILIQ	is.;
GÖZBAĞLICA	is.;
GÖZBƏGÖZ	zer.;
GÖZCÜK	is.;
GÖZCÜKLÜ	sif.;
GÖZDAXİLİ	sif.;
GÖZDAĞI	is.;
GÖZDƏNDÜŞMƏ	f.;
GÖZDƏNUZAQ	sif.;
GÖZDƏYMƏ	f.;
GÖZGÖRƏ	zer.;
GÖZGÖRƏSİ	zer.;
GÖZGÖRƏTİ	zer.;
GÖZGƏZDİRƏN	is.;
GÖZLÜ	sif.;
GÖZLÜK	is.;
GÖZLÜKLÜ	sif.;
GÖZLÜKSÜZ	sif.;zer.;
GÖZLÜKÇÜ	is.;
GÖZLÜKÇÜLÜK	is.;
GÖZLÜLÜK	is.;
GÖZLƏ	f.;
GÖZLƏHAGÖZLƏ	is.;
GÖZLƏMƏ	f_is.;
GÖZLƏMƏK	f.;zer.;
GÖZLƏN	f.;
GÖZLƏNMƏ	f.;
GÖZLƏNMƏK	mech.;
GÖZLƏNMƏYƏN	f.;
GÖZLƏNMƏZ	zer.;sif.;
GÖZLƏNMƏZLİK	is.;
GÖZLƏNİL	f.;
GÖZLƏNİLMƏ	f_is.;
GÖZLƏNİLMƏDƏN	zer.;
GÖZLƏNİLMƏK	mech.;
GÖZLƏNİLMƏYƏN	f.;
GÖZLƏNİLMƏZ	zer.;sif.;
GÖZLƏNİLMƏZLİK	is.;
GÖZLƏNİLƏN	sif.;
GÖZLƏNƏN	sif.;
GÖZLƏT	f.;
GÖZLƏTDİR	f.;
GÖZLƏTDİRMƏ	f.;
GÖZLƏTMƏ	f_is.;
GÖZLƏTMƏK	icb.;
GÖZLƏŞ	f.;
GÖZLƏŞMƏ	f_is.;
GÖZLƏŞMƏK	qars.;
GÖZMUNCUQLU	sif.;
GÖZMUNCUĞU	is.;
GÖZOTU	is.;
GÖZOXŞARLIĞI	is.;
GÖZOXŞAYAN	is.;
GÖZQAMAŞDIRAN	sif.;
GÖZQAMAŞDIRICI	sif.;
GÖZQAMAŞDIRICILIQ	is.;
GÖZQAMAŞMA	is.;
GÖZQAPAĞI	is.;
GÖZSÜZ	sif.;
GÖZSÜZLÜK	is.;
GÖZSƏYİRMƏSİ	is.;
GÖZUCU	zer.;
GÖZYAŞARDAN	sif.;
GÖZYAŞARDICI	sif.;
GÖZYAŞARDICILIQ	is.;
GÖZYAŞI	is.;
