GÜC	is.;zer.;
GÜC-BƏLA	zer.;
GÜC-QÜVVƏT	is.;
GÜC-XOŞ	is.;
GÜC-ZOR	is.;
GÜCDƏNDÜŞMƏ	f.;
GÜCLÜ	sif.;
GÜCLÜ-ZORLU	sif.;
GÜCLÜK	is.;
GÜCLÜLÜK	is.;
GÜCLƏ	zer.;
GÜCLƏMƏ	f_is.;
GÜCLƏMƏK	f.;
GÜCLƏN	f.;
GÜCLƏNDİR	f.;
GÜCLƏNDİRMƏ	f_is.;
GÜCLƏNDİRMƏK	f.;
GÜCLƏNDİRT	f.;
GÜCLƏNDİRTMƏ	f.;
GÜCLƏNDİRİCİ	sif.;
GÜCLƏNDİRİCİ-DİSKRİMİNATOR	is.;
GÜCLƏNDİRİCİ-FAZAİNVERTOR	is.;
GÜCLƏNDİRİCİ-MƏHDUDLAŞDIRICI	is.;
GÜCLƏNDİRİCİDÜZLƏNDİRİCİ	is.;
GÜCLƏNMƏ	f_is.;
GÜCLƏNMƏK	f.;
GÜCLƏŞ	f.;
GÜCOTU	is.;
GÜCSÜZ	sif.;
GÜCSÜZLÜK	is.;
GÜCÖLÇƏN	is.;
GÜCÖTÜRÜCÜ	is.;
GÜCÜNƏ	is.;
GÜCÜRLƏ	f.;
GÜCÜRLƏMƏ	f.;
GÜCÜRLƏMƏK	f.;
GÜCƏ-GÜC	zer.;
GÜCƏN	f.;
GÜCƏNDİRMƏ	f_is.;
GÜCƏNDİRMƏK	icb.;
GÜCƏNDİRİCİ	sif.;
GÜCƏNMƏ	f_is.;
GÜCƏNMƏK	f.;
GÜCƏNƏ-GÜCƏNƏ	zer.;
