HAÇA	f.;is.;sif.;
HAÇABAR	is.;
HAÇABARMAQLI	sif.;
HAÇABAŞ	sif.;
HAÇABAŞ(LI)	sif.;
HAÇABAŞLI	sif.;
HAÇABUYNUZ	sif.;
HAÇABUYNUZ(LU)	sif.;
HAÇABUYNUZLU	sif.;
HAÇABƏND	is.;
HAÇADIRNAQ	sif.;
HAÇADIRNAQ(LI)	sif.;
HAÇADIRNAQLI	sif.;
HAÇADİL	sif.;
HAÇADİL(Lİ)	sif.;
HAÇADİLLİ	sif.;
HAÇALA	f.;
HAÇALAMA	f_is.;
HAÇALAMAQ	f.;
HAÇALAN	f.;
HAÇALANMAQ	mech.;t-siz.;
HAÇALAŞ	f.;
HAÇALAŞMA	f_is.;
HAÇALAŞMAQ	mech.;t-siz.;
HAÇALI	sif.;
HAÇALIQ	is.;
HAÇAMAYA	is.;
HAÇANDAN	is.;
HAÇANDAN-HAÇANA	zer.;
HAÇAQ	ev.;
HAÇAQIVRIM	is.;
HAÇAQUYRUQ	is.;
HAÇAQUYRUQ(LU)	sif.;
HAÇAQUYRUQLU	sif.;
HAÇASAQQAL	sif.;
HAÇASAQQAL(LI)	sif.;
HAÇASAQQALLI	sif.;
HAÇAYABƏNZƏR	sif.;
HAÇAĞACAN	is.;
HAÇAĞADƏK	is.;
