KAL	zer.;sif.;
KALA	is.;
KALA	is.;
KALABAR	is.;
KALAFA	is.;
KALAFAAĞIZ	sif.;
KALAFAGÜLÜ	is.;
KALAFALIQ	is.;
KALAMBUR	is.;
KALAMBURLU	sif.;
KALAMBURÇU	is.;
KALAN	sif.;
KALANLAŞ	f.;
KALANLIQ	is.;
KALAVA	is.;
KALAĞAY(I)	is.;
KALBA	is.;
KALDERA	is.;
KALEDENÇİLİK	is.;
KALENCİ	is.;
KALENDAR	is.;
KALEYDOSKOP	is.;
KALEYDOSKOPİK	sif.;
KALIM	is.;
KALIŞ	is.;
KALIŞLIQ	is.;
KALKA	is.;
KALKOQRAF	is.;
KALKOQRAFİYA	is.;
KALKULYASİYA	is.;
KALKULYASİYAÇI	is.;
KALKULYASİYAÇILIQ	is.;
KALKULYATOR	is.;
KALKULYATORLUQ	is.;
KALLAŞMA	f.is.;
KALLAŞMAQ	f.;
KALLAŞMIŞ	f.sif.;
KALLIQ	is.;
KALLİQRAF	is.;
KALLİQRAFİK	is.;
KALLİQRAFİYA	is.;
KALMIK	is.;
KALMIKCA	sif.;zer.;
KALORİ	is.;
KALORİFER	is.;
KALORİMETR	is.;
KALORİMETRİK	is.;
KALORİMETRİYA	is.;
KALORİYA	is.;
KALORİYALI	sif.;
KALORİYALILIQ	is.;
KALORİÖLÇƏN	is.;
KALSEKS	is.;
KALSİUM	is.;
KALTA	is.;
KALVİL	is.;
KALVİNİST	is.;
KALVİNİZM	is.;
KALİBR	is.;
KALİBRLİ	sif.;
KALİBRLƏ	f.;
KALİBRLƏMƏ	f.is.;
KALİBRLƏMƏK	f.;
KALİBRLƏN	f.;
KALİBRLƏNMİŞ	f.sif.;
KALİBRLƏNMƏ	f.is.;
KALİBRLƏNMƏK	f.;
KALİBRLƏYİCİ	sif.;
KALİBRLƏYİCİLİK	is.;
KALİBRÇİ	is.;
KALİBRÇİLİK	is.;
KALİBRÖLÇƏN	is.;
KALİFORNİUM	is.;
KALİUM	is.;
KALİUMLU	sif.;
KALİUMLULUQ	is.;
