KEF	f.;is.;
KEF-DAMAQ	is.;sif.;
KEF-İŞRƏT	is.;
KEF-ƏHVAL	is.;sif.;
KEFAL	is.;
KEFALKİMİ	sif.;
KEFALKİMİLƏR	is.;
KEFALOMETRİYA	is.;
KEFCİL	is.;sif.;
KEFCİLLİK	is.;
KEFLİ	sif.;
KEFLİ-DAMAQLI	sif.;
KEFLİ-KEFLİ	zer.;
KEFLİLİK	is.;
KEFLƏN	f.;
KEFLƏNDİR	f.;
KEFLƏNDİRMƏ	f.is.;
KEFLƏNDİRMƏK	f.;
KEFLƏNDİRİCİ	sif.;
KEFLƏNDİRİCİLİK	is.;
KEFLƏNDİRİL	f.;
KEFLƏNDİRİLMƏ	f.is.;
KEFLƏNDİRİLMƏK	f.;
KEFLƏNMƏ	f.is.;
KEFLƏNMƏK	f.;
KEFSİZ	sif.;
KEFSİZCƏ	zer.;
KEFSİZCƏSİNƏ	zer.;
KEFSİZLİK	is.;
KEFSİZLƏ	f.;
KEFSİZLƏMƏ	f.is.;
KEFSİZLƏMƏK	f.;
KEFSİZLƏN	f.;
KEFSİZLƏNDİR	f.;
KEFSİZLƏNDİRMƏ	f.is.;
KEFSİZLƏNDİRMƏK	f.;
KEFSİZLƏNMƏ	f.;
KEFSİZLƏŞ	f.;
KEFSİZLƏŞMƏ	f.;
KEFXANA	is.;
KEFÇİ	is.;sif.;
KEFÇİLİK	is.;
KEFÇƏKƏN	sif.;
KEFİNƏQULU	sif.;
KEFİR	is.;
KEFİRLİK	is.;
