KƏS	ev.;
KƏSAD	sif.;
KƏSAFƏT	is.;
KƏSAFƏTLİ	sif.;
KƏSAFƏTLİLİK	is.;
KƏSALƏT	is.;
KƏSALƏTLİ	sif.;
KƏSALƏTLİLİK	is.;
KƏSB	is.;
KƏSBKAR	is.;
KƏSBKARLIQ	is.;
KƏSDİR	f.;
KƏSDİRMƏ	f.;
KƏSDİRMƏK	f.;
KƏSDİRT	f.;
KƏSDİRTMƏ	f.;
KƏSDİRİL	f.;
KƏSDİRİLMƏ	f.;
KƏSDİRİLMƏK	f.;
KƏSHAKƏS	f.;
KƏSKİ	is.;
KƏSKİ	is.;
KƏSKİN	sif.;
KƏSKİN-KƏSKİN	zer.;
KƏSKİNLİK	is.;
KƏSKİNLƏT	f.;
KƏSKİNLƏTMƏ	f.;
KƏSKİNLƏŞ	f.;
KƏSKİNLƏŞDİR	f.;
KƏSKİNLƏŞDİRMƏ	f.; 
KƏSKİNLƏŞDİRMƏK	f.;
KƏSKİNLƏŞDİRİL	f.;
KƏSKİNLƏŞDİRİLMƏ	f.; 
KƏSKİNLƏŞDİRİLMƏK	f.;
KƏSKİNLƏŞMƏ	f.;
KƏSKİNLƏŞMƏK	f.;
KƏSMİK	is.;
KƏSMİKLİ	sif.;
KƏSMİKLƏŞ	f.;
KƏSMİKLƏŞDİR	f.;
KƏSMİKLƏŞDİRMƏ	f.; 
KƏSMİKLƏŞDİRMƏK	f.;
KƏSMİKLƏŞDİRİL	f.;
KƏSMİKLƏŞDİRİLMƏ	f.;
KƏSMİKLƏŞDİRİLMƏK	f.;
KƏSMİKLƏŞMƏ	f.;
KƏSMİKLƏŞMƏK	f.;
KƏSMƏ	f.;
KƏSMƏ	is.;
KƏSMƏ	is.;
KƏSMƏ-KƏSMƏ	zer.;
KƏSMƏCƏ	zer.;
KƏSMƏK	zer.;
KƏSMƏT	is.;
KƏSMƏŞİKƏSTƏ	is.;
KƏSR	is.;
KƏSRLİ	sif.;
KƏSRİ	sif.;
KƏSRƏ	is.;
KƏSRƏLİ	sif.;
KƏSRƏT	is.;
KƏSRƏTLİ	sif.;
KƏSRƏVİZM	is.;
KƏSTANƏ	is.;
KƏSİB-BİÇ	f.;
KƏSİB-BİÇMƏ	f.;
KƏSİB-GÖTÜR	f.;
KƏSİB-GÖTÜRMƏ	f.;
KƏSİB-TÖK	f.;
KƏSİB-TÖKMƏ	f.;
KƏSİCİ	sif.;
KƏSİCİ-SORTLAYICI	is.;
KƏSİCİLİK	is.;
KƏSİF	sif.;
KƏSİFLİK	is.;
KƏSİFLƏŞ	f.;
KƏSİFLƏŞDİR	f.;
KƏSİFLƏŞDİRMƏ	f.;
KƏSİFLƏŞDİRMƏK	f.;
KƏSİFLƏŞDİRİL	f.;
KƏSİFLƏŞDİRİLMƏ	f.;
KƏSİFLƏŞDİRİLMƏK	f.;
KƏSİFLƏŞMƏ	f.;
KƏSİFLƏŞMƏK	f.;
KƏSİK	is.;sif.;
KƏSİK-KÜSÜK	is.; 
KƏSİK-KƏSİK	zer.;
KƏSİK-QIRIQ	sif.;
KƏSİKLİ	sif.;
KƏSİKLİK	is.;
KƏSİKSAÇ	sif.;
KƏSİKSAÇ(LI)	sif.;
KƏSİKSAÇLI	sif.;
KƏSİL	f.;
KƏSİLMƏ	f.;
KƏSİLMƏDƏN	zer.;
KƏSİLMƏK	f.;
KƏSİLMƏZ	f_sif.;
KƏSİLMƏZLİK	is.;
KƏSİLİ	sif.;
KƏSİLİŞ	is.;
KƏSİLİŞMƏ	f.; 
KƏSİLİŞMƏK	f.;
KƏSİLƏ-KƏSİLƏ	zer.;
KƏSİLƏSİ	f_sif.;
KƏSİM	is.;
KƏSİM-BİÇİM	is.;
KƏSİMLİ	sif.;
KƏSİMƏT	is.;
KƏSİNTİ	is.;
KƏSİR	is.;
KƏSİR	is.;
KƏSİRLİ	sif.;
KƏSİRLİLİK	is.;
KƏSİRSİZ	sif.;
KƏSİRSİZLİK	is.;
KƏSİŞ	f.;
KƏSİŞMƏ	f.;
KƏSİŞMƏK	f.;
KƏSƏ	sif.;zer.;
KƏSƏB	is.;
KƏSƏBƏ	is.;
KƏSƏBƏLİK	is.;
KƏSƏK	is.;
KƏSƏK-KÜSƏK	is.;
KƏSƏKDÖYƏN	is.;
KƏSƏKKƏSƏN	is.;
KƏSƏKLİ	sif.;
KƏSƏKLİK	is.;
KƏSƏKLƏN	f.;
KƏSƏKLƏNMƏ	f.;
KƏSƏKLƏŞ	f.;
KƏSƏKLƏŞMƏ	f.; 
KƏSƏKLƏŞMƏK	f.;
KƏSƏKOTU	is.;
KƏSƏKƏS	is.;
KƏSƏN	f.;
KƏSƏR	is.;
KƏSƏRLİ	sif.;
KƏSƏRLİLİK	is.;
KƏSƏRSİZ	sif.;
KƏSƏRSİZLİK	is.;
KƏSƏRTİ	is.;
KƏSƏSİNƏ	zer.;
KƏSƏYƏN	is.;
