MÖHKƏM	sif.;zer.;
MÖHKƏMCƏ	zer.;
MÖHKƏMLİK	is.;
MÖHKƏMLƏN	f.;
MÖHKƏMLƏNDİR	f.;
MÖHKƏMLƏNDİRMƏ	f.;
MÖHKƏMLƏNDİRMƏK	f.;
MÖHKƏMLƏNDİRİL	f.;
MÖHKƏMLƏNDİRİLMƏ	f.;
MÖHKƏMLƏNDİRİLMƏK	f.;
MÖHKƏMLƏNMƏ	f.;
MÖHKƏMLƏNMƏK	f.;
MÖHKƏMLƏT	f.;
MÖHKƏMLƏTMƏ	f.;
MÖHKƏMLƏTMƏK	f.;
MÖHKƏMLƏŞ	f.;
MÖHKƏMLƏŞDİR	f.;
MÖHKƏMLƏŞDİRMƏ	f.;
MÖHKƏMLƏŞDİRMƏK	f.;
MÖHKƏMLƏŞMƏ	f.;
MÖHKƏMLƏŞMƏK	f.;
MÖHLƏT	is.;
MÖHNƏT	is.;
MÖHNƏTKEŞ	is.;sif.;
MÖHNƏTLİ	sif.;
MÖHRƏ	is.;
MÖHRƏLİ	sif.;
MÖHRƏLƏŞ	f.;
MÖHTAC	sif.;
MÖHTACLIQ	is.;
MÖHTƏKİR	is.;
MÖHTƏKİRLİK	is.;
MÖHTƏMƏL	sif.;
MÖHTƏMƏLLİK	is.;
MÖHTƏRƏM	sif.;
MÖHTƏRƏMLİK	is.;
MÖHTƏŞƏM	sif.;
MÖHTƏŞƏMLİK	is.;
MÖHÜR	is.;
MÖHÜRBƏND	is.;
MÖHÜRLÜ	sif.;
MÖHÜRLƏ	f.;
MÖHÜRLƏMƏ	f.;
MÖHÜRLƏMƏK	f.;
MÖHÜRLƏN	f.;
MÖHÜRLƏNMİŞ	f.;
MÖHÜRLƏNMƏ	f.;
MÖHÜRLƏNMƏK	f.;
MÖHÜRLƏT	f.;
MÖHÜRLƏTMƏ	f.;
MÖHÜRLƏTMƏK	f.;
MÖHÜRSÜZ	sif.;
