NƏM	sif.;zer.;
NƏM-NÜM	is.;
NƏMGÜL	sif.;
NƏMHOPDURAN	sif.;
NƏMLİ	sif.;
NƏMLİK	is.;
NƏMLİLİK	is.;
NƏMLƏ	f.;
NƏMLƏMƏ	f.;
NƏMLƏN	f.;
NƏMLƏNDİRMƏ	f.;
NƏMLƏNDİRMƏK	f.;
NƏMLƏNMƏ	f.;
NƏMLƏNMƏK	f.;
NƏMLƏT	f.;
NƏMLƏTMƏ	f.;
NƏMLƏŞ	f.;
NƏMLƏŞDİR	f.;
NƏMLƏŞDİRMƏ	f.;
NƏMLƏŞMƏ	f.;
NƏMLƏŞMƏK	f.;
NƏMSEVƏN	sif.;
NƏMSİZ	sif.;
NƏMSİZLİK	is.;
NƏMÇİ	is.;
NƏMÇİLƏ	f.;
NƏMÇİLƏMƏ	f.;
NƏMÇİLƏMƏK	f.;
NƏMÇİMƏ	f.;
NƏMÇİMƏK	f.;
NƏMÖLÇƏN	is.;
NƏMİ	is.;
NƏMİŞ	sif.;
NƏMİŞLİ	sif.;
NƏMİŞLİK	is.;
NƏMİŞLƏ	f.;
NƏMİŞLƏMƏ	f.;
NƏMİŞLƏN	f.;
NƏMİŞLƏNMƏ	f.;
NƏMİŞLƏNMƏK	f.;
NƏMƏKBƏHARAM	is.;
NƏMƏKBƏHARAMLIQ	is.;
NƏMƏKDAN	is.;
NƏMƏKOV	is.;
NƏMƏKİ	sif.;
NƏMƏNƏ	is.;
NƏMƏR	is.;
