RƏNA	f.;is.;sif.;
RƏNALIQ	is.;
RƏNC	is.;
RƏNCBƏR	is.;
RƏNCBƏRLİK	is.;
RƏNCİDƏ	sif.;
RƏNCİDƏLİK	is.;
RƏNDƏ	is.;
RƏNDƏLİ	sif.;
RƏNDƏLƏ	f.;
RƏNDƏLƏMƏ	f_is.;
RƏNDƏLƏMƏK	f.;
RƏNDƏLƏN	f.;
RƏNDƏLƏNMƏ	f_is.;
RƏNDƏLƏNMƏK	mech.;
RƏNDƏLƏT	f.;
RƏNDƏLƏTDİR	f.;
RƏNDƏLƏTDİRMƏ	f_is.;
RƏNDƏLƏTDİRMƏK	icb.;
RƏNDƏLƏTMƏ	f_is.;
RƏNDƏLƏTMƏK	icb.;
RƏNDƏÇİ	is.;
RƏNG	is.;
RƏNG-RUY	is.;
RƏNG-RÖVNƏQ	is.;
RƏNGARƏNG	sif.;
RƏNGARƏNGLİ	sif.;
RƏNGARƏNGLİK	is.;
RƏNGBƏRƏNG	sif.;
RƏNGBƏRƏNGLİ	sif.;
RƏNGBƏRƏNGLİK	is.;
RƏNGCƏ	zer.;
RƏNGDƏN-RƏNGƏ	zer.;
RƏNGDƏYİŞMƏ	f.;
RƏNGDƏYİŞƏN	f_sif.;
RƏNGGÖRMƏ	f.;
RƏNGKAR	is.;
RƏNGKARLIQ	is.;
RƏNGLİ	sif.;
RƏNGLİLİK	is.;
RƏNGLƏ	f.;
RƏNGLƏMƏ	f_is.;
RƏNGLƏMƏK	f.;
RƏNGLƏN	f.;
RƏNGLƏNDİR	f.;
RƏNGLƏNDİRMƏ	f.;
RƏNGLƏNDİRİCİ	is.;
RƏNGLƏNDİRİL	f.;
RƏNGLƏNDİRİLMƏ	f.;
RƏNGLƏNMƏ	f_is.;
RƏNGLƏNMƏK	mech.;
RƏNGLƏT	f.;
RƏNGLƏTDİRMƏ	f.;is.;
RƏNGLƏTDİRMƏK	icb.;
RƏNGLƏTMƏ	f_is.;
RƏNGLƏTMƏK	icb.;
RƏNGLƏYİCİ	sif.;
RƏNGOTU	is.;
RƏNGSAZ	is.;
RƏNGSAZLIQ	is.;
RƏNGSAZXANA	is.;
RƏNGSEÇMƏ	f.;
RƏNGSİZ	sif.;
RƏNGSİZLİK	is.;
RƏNGSİZLƏŞ	f.;
RƏNGSİZLƏŞDİR	f.;
RƏNGSİZLƏŞDİRMƏ	f_is.;
RƏNGSİZLƏŞDİRMƏK	f.;
RƏNGSİZLƏŞDİRİL	f.;
RƏNGSİZLƏŞDİRİLMƏ	f.;
RƏNGSİZLƏŞMƏ	f.;is.;
RƏNGSİZLƏŞMƏK	f.;sif.;
RƏNGVERMƏ	f.;
RƏNGVERİCİ	sif.;
RƏNGVURAN	is.;
RƏNGÇİ	is.;
RƏNGÇƏKƏN	is.;
RƏNGİN	sif.;
