SƏF	f.;is.;
SƏFA	is.;
SƏFAHƏT	is.;
SƏFALAN	f.;
SƏFALANDIR	f.;
SƏFALI	sif.;
SƏFALILIQ	is.;
SƏFALƏT	is.;
SƏFALƏTLİ	sif.;
SƏFARƏT	is.;
SƏFARƏTXANA	is.;
SƏFASIZ	sif.;
SƏFASIZLIQ	is.;
SƏFBƏSƏF	f.;zer.;
SƏFEH	sif.;
SƏFEH-SƏFEH	zer.;
SƏFEHCƏ	zer.;
SƏFEHCƏ(SİNƏ)	zer.;
SƏFEHCƏSİNƏ	zer.;
SƏFEHLİK	is.;
SƏFEHLƏ	f.;
SƏFEHLƏMƏ	f_is.;
SƏFEHLƏMƏK	f.;
SƏFEHLƏŞ	f.;
SƏFEHLƏŞMƏ	f.;
SƏFHƏ	is.;
SƏFRA	is.;
SƏFİL	sif.;zer.;
SƏFİL-SƏRGƏRDAN	zer.;
SƏFİLANƏ	zer.;
SƏFİLCƏ	zer.;
SƏFİLCƏSİNƏ	zer.;
SƏFİLLİK	is.;
SƏFİLLƏN	f.;
SƏFİLLƏNMƏ	f.;
SƏFİLLƏŞ	f.;
SƏFİLLƏŞMƏ	f.;
SƏFİNƏ	is.;
SƏFİR	is.;
SƏFİRLİK	is.;
SƏFƏR	is.;
SƏFƏR	is.;
SƏFƏR	is.;
SƏFƏRBƏR	sif.;
SƏFƏRBƏREDİCİ	sif.;
SƏFƏRBƏRLİK	is.;
SƏFƏRLİK	is.;
SƏFƏRLƏRARASI	sif.;
SƏFƏROTU	is.;
SƏFƏRQABAĞI	sif.;
SƏFƏRXANA	is.;
