UZUN	zer.;sif.;
UZUN-CAYDAQ	sif.;
UZUN-DOLAŞIQ	sif.;
UZUN-GÖDƏK	sif.;
UZUN-QISA	sif.;
UZUN-UZADI	sif.;zer.;
UZUN-UZUN	sif.;zer.;
UZUNAYAQ	sif.;
UZUNAYAQ(LI)	sif.;
UZUNAYAQLI	sif.;
UZUNBALAQLI	sif.;
UZUNBALDIR(LI)	sif.;
UZUNBAŞ	sif.;
UZUNBAŞ(LI)	sif.;
UZUNBAŞLI	sif.;
UZUNBIĞ	sif.;
UZUNBIĞ(LI)	sif.;
UZUNBIĞCIQLI	sif.;
UZUNBIĞLI	sif.;
UZUNBOY	sif.;
UZUNBOY(LU)	sif.;
UZUNBOYUN	sif.;
UZUNBOYUNLU	sif.;
UZUNBOĞAZ	sif.;
UZUNBOĞAZ(LI)	sif.;
UZUNBOĞAZLI	sif.;
UZUNBURUN	is.;
UZUNBURUN	sif.;
UZUNBURUNLU	sif.;
UZUNBUYNUZ	sif.;
UZUNBUYNUZ(LU)	sif.;
UZUNBUYNUZLU	sif.;
UZUNCA	sif.;
UZUNDALĞALI	sif.;
UZUNDANIŞAN	sif.;
UZUNDRAZ	sif.;
UZUNDRAZLIQ	is.;
UZUNDÖVRLÜ	sif.;
UZUNDİMDİK	sif.;
UZUNDİMDİKLİ	sif.;
UZUNDƏRƏ	is.;
UZUNFOKUSLU	sif.;
UZUNGÖVDƏ	sif.;
UZUNGÖVDƏLİ	sif.;
UZUNGƏRDƏN(Lİ)	sif.;
UZUNKİRPİK(Lİ)	sif.;
UZUNLA	f.;
UZUNLADICI	sif.;
UZUNLAMASINA	zer.;
UZUNLAT	f.;
UZUNLATMAQ	f.;
UZUNLAŞ	f.;
UZUNLAŞMAQ	f.;
UZUNLULUQ	is.;
UZUNLUQ	is.;
UZUNLUQÖLÇƏN	is.;
UZUNLÜLƏ	sif.;
UZUNLÜLƏLİ	sif.;
UZUNLİFLİ	sif.;
UZUNMÜDDƏTLİ	sif.;
UZUNMÜDDƏTLİLİK	is.;
UZUNPAPAQ	sif.;
UZUNPAÇA	sif.;
UZUNPAÇALI	sif.;
UZUNPƏRƏLİ	sif.;
UZUNQANAD	sif.;
UZUNQANAD(LI)	sif.;
UZUNQANADLI	sif.;
UZUNQILÇA	sif.;
UZUNQILÇALI	sif.;
UZUNQIÇ	sif.;
UZUNQIÇLI	sif.;
UZUNQOL	sif.;
UZUNQOL(LU)	sif.;
UZUNQOLLU	sif.;
UZUNQULAQ	is.;
UZUNQULAQLI	sif.;
UZUNQUNC	sif.;
UZUNQUYRUQ	sif.;
UZUNQUYRUQ(LU)	sif.;
UZUNQUYRUQLU	sif.;
UZUNSAP	sif.;
UZUNSAPLAQ	sif.;
UZUNSAPLI	sif.;
UZUNSAQQAL	sif.;
UZUNSAQQAL(LI)	sif.;
UZUNSAQQALLI	sif.;
UZUNSAÇ	sif.;
UZUNSAÇ(LI)	sif.;
UZUNSAÇLI	sif.;
UZUNSOV	sif.;
UZUNSOV-ENLİ	sif.;
UZUNSOV-ENSİZ	sif.;
UZUNSOV-GİRDƏ	sif.;
UZUNSOVLUQ	is.;
UZUNSÜMBÜL	sif.;
UZUNSÜRƏN	sif.;
UZUNSİFƏT	sif.;
UZUNSİFƏT(Lİ)	sif.;
UZUNSİFƏTLİ	sif.;
UZUNTUMAN	sif.;
UZUNTUMANLI	sif.;
UZUNTÜK	sif.;
UZUNTÜKLÜ	sif.;
UZUNTƏHƏR	sif.;
UZUNUNA	zer.;
UZUNUNA-ENİNƏ	zer.;
UZUNYAL	sif.;
UZUNYALLI	sif.;
UZUNYARPAQ	sif.;
UZUNYARPAQ(LI)	sif.;
UZUNYARPAQLI	sif.;
UZUNYUN	sif.;
UZUNYUNLU	sif.;
UZUNÇALAN	sif.;
UZUNÇU	sif.;
UZUNÇULUQ	is.;
UZUNÇƏKƏN	sif.;
UZUNÖMÜRLÜ	sif.;
UZUNÖMÜRLÜLÜK	is.;
UZUNİLLİK	sif.;
UZUNŞIRNAQLI	sif.;
UZUNŞÜALI	sif.;
UZUNƏSRLİK	is.;
UZUNƏTƏK	sif.;
UZUNƏTƏK(Lİ)	sif.;
UZUNƏTƏKLİ	sif.;
