VƏH	nida.;
VƏHABİ	is.;
VƏHALONKİ	ba.;
VƏHDANİYYƏT	is.;
VƏHDƏT	is.;
VƏHDƏTİ-VÜCUD	is.;
VƏHHABİ	is.;
VƏHHABİLİK	is.;
VƏHM	is.;
VƏHMNAK	sif.;
VƏHMƏ	is.;
VƏHMƏLİ	sif.;
VƏHMƏLƏN	f.;
VƏHMƏLƏNDİR	f.;
VƏHMƏLƏNDİRMƏ	f.;
VƏHMƏLƏNDİRMƏK	f.;
VƏHMƏLƏNMƏ	f.;
VƏHY	is.;
VƏHŞ	sif.;
VƏHŞANİYYƏT	is.;
VƏHŞİ	sif.;
VƏHŞİCƏ	zer.;
VƏHŞİCƏ(SİNƏ)	sif.;zer.;
VƏHŞİCƏSİNƏ	zer.;
VƏHŞİLİK	is.;
VƏHŞİLƏŞ	f.;
VƏHŞİLƏŞMƏ	f.;
VƏHŞİLƏŞMƏK	f.;
VƏHŞİTƏBİƏT	is.;
VƏHŞİTƏBİƏT(Lİ)	sif.;
VƏHŞİTƏBİƏTLİ	sif.;
VƏHŞİYANƏ	zer.;
VƏHŞİYANƏLİK	is.;
VƏHŞİYYƏT	is.;
VƏHŞƏT	is.;
VƏHŞƏTLİ	sif.;
VƏHŞƏTƏFZA	sif.;
