YEDDİ	say.;is.;
YEDDİ-YEDDİ	sif.;
YEDDİADAMLIQ	is.;
YEDDİARŞINLIQ	sif.;
YEDDİAYLIQ	sif.;
YEDDİBAR	is.;
YEDDİBARMAQLI	sif.;
YEDDİBAŞLI	sif.;
YEDDİBUCAQ	is.;
YEDDİBUCAQLI	sif.;
YEDDİCİLDLİ	sif.;
YEDDİCİLDLİK	is.;
YEDDİCƏ	say;
YEDDİDÖVRƏLİ	sif.;
YEDDİDÜYMƏ	is.;
YEDDİDÜYMƏLİK	sif.;
YEDDİDİLLİ	sif.;
YEDDİDƏQİQƏLİK	sif.;
YEDDİELEKTRODLU	sif.;
YEDDİGÜNLÜK	sif.;
YEDDİGİRVƏNKƏLİK	sif.;
YEDDİHECALI	sif.;
YEDDİHİSSƏLİ	sif.;
YEDDİKİLOLUQ	sif.;
YEDDİKİLOMETRLİK	sif.;
YEDDİKİLOQRAMLIQ	sif.;
YEDDİLİK	is.;sif.;
YEDDİLİTRLİK	is.;
YEDDİLƏ	f.;
YEDDİLƏMƏ	f.;
YEDDİLƏMƏK	f.;
YEDDİMETRLİK	sif.;
YEDDİMƏRTƏBƏ	is.;
YEDDİMƏRTƏBƏ(Lİ)	sif.;
YEDDİMƏRTƏBƏLİ	sif.;
YEDDİNCİ	say.;
YEDDİNƏFƏRLİK	sif.;
YEDDİPUDLUQ	sif.;
YEDDİQARDAŞ	is.;
YEDDİQAT	sif.;
YEDDİQAT(LI)	sif.;
YEDDİQATLI	sif.;
YEDDİQÜLLƏLİ	sif.;
YEDDİRƏNG	sif.;
YEDDİRƏNGLİ	sif.;
YEDDİRƏQƏMLİ	sif.;
YEDDİSAATLIQ	sif.;
YEDDİSANİYƏLİK	sif.;
YEDDİSÜTUNLU	sif.;
YEDDİSİMLİ	sif.;
YEDDİSİNİFLİ	sif.;
YEDDİTONLUQ	sif.;
YEDDİYARUSLU	sif.;
YEDDİYAŞ	sif.;
YEDDİYAŞ(LI)	sif.;
YEDDİYAŞAR	sif.;
YEDDİYAŞLI	sif.;
YEDDİYERLİ	sif.;
YEDDİYÜZİLLİK	sif.;
YEDDİÜZLÜ	sif.;
YEDDİİLLİK	is.;sif.;
YEDİR	f.;
YEDİRMƏ	f.;
YEDİRMƏK	f.;
YEDİRT	f.;
YEDİRTDİR	f.;
YEDİRTDİRMƏ	f.;
YEDİRTMƏ	f.;
YEDİRTMƏK	f.;
YEDİRİB-İÇİRT	f.;
YEDİRİB-İÇİRTMƏ	f.;
YEDİRİL	f.;
YEDİRİLMƏ	f.;
YEDİRİLMƏK	f.;
YEDİZDİR	f.;
YEDİZDİRMƏ	f.;
YEDİZDİRMƏK	f.;
YEDİZDİRİL	f.;
YEDİZDİRİLMƏ	f.;
YEDİZDİRİLMƏK	f.;
YEDƏK	is.;zer.;
YEDƏKCİL	sif.;
YEDƏKLİ	sif.;
YEDƏKLƏMƏ	f.;
YEDƏKLƏMƏK	f.;
YEDƏKLƏNMƏ	f.;
YEDƏKLƏNMƏK	f.;
YEDƏKLƏTMƏ	f.;
YEDƏKLƏTMƏK	f.;
YEDƏKÇİ	is.;
YEDƏKÇİLİK	is.;
