YEK	say.;
YEK-DİGƏR	is.;
YEKAHƏNG	sif.;
YEKAYEK	sif.;
YEKBƏDƏN	sif.;
YEKBƏYEK	zer.;
YEKCİNS	sif.;
YEKCİNSLİK	is.;
YEKCƏHƏT	sif.;zer.;
YEKCƏHƏTLİK	is.;
YEKDİL	sif.;
YEKDİLLİK	is.;
YEKDİLLİKLƏ	zer.;
YEKDİLLƏŞ	f.;
YEKDİLLƏŞMƏ	f.;
YEKNƏSƏQ	sif.;
YEKNƏSƏQLİK	is.;
YEKPARƏ	sif.;
YEKPARƏLİK	is.;
YEKPAY	zer.;
YEKRƏNG	sif.;
YEKRƏNGLİK	is.;
YEKSAN	sif.;
YEKSƏR	sif.;
YEKTA	sif.;
YEKTƏRƏF	sif.;
YEKUN	is.;
YEKUNLAŞDIR	f.;
YEKUNLAŞDIRIL	f.;
YEKUNLAŞDIRILMAQ	f.;
YEKUNLAŞDIRMAQ	f.;
YEKVÜCUD	sif.;
YEKXANA	is.;
YEKXANALIQ	is.;
YEKƏ	sif.;zer.;
YEKƏ-YEKƏ	zer.;
YEKƏAĞIZ	sif.;
YEKƏAĞIZLI	sif.;
YEKƏBAŞ	sif.;
YEKƏBAŞLI	sif.;
YEKƏBAŞLILIQ	is.;
YEKƏBAŞLIQ	is.;
YEKƏBIĞ	sif.;
YEKƏBIĞ(LI)	sif.;
YEKƏBIĞLI	sif.;
YEKƏBOĞAZ	sif.;
YEKƏBOĞAZLI	sif.;
YEKƏBURUN	sif.;
YEKƏBURUNLU	sif.;
YEKƏBUYNUZ	sif.;
YEKƏBUYNUZ(LU)	sif.;
YEKƏBUYNUZLU	sif.;
YEKƏDALAQ	sif.;
YEKƏDALAQ(LI)	sif.;
YEKƏDALAQLI	sif.;
YEKƏDALAQLILIQ	sif.;
YEKƏDIRNAQ	sif.;
YEKƏDIRNAQ(LI)	sif.;
YEKƏDIRNAQLI	sif.;
YEKƏDODAQ	sif.;
YEKƏDODAQLI	sif.;
YEKƏDÖŞ	sif.;
YEKƏDÖŞ(LÜ)	sif.;
YEKƏDÖŞLÜ	sif.;
YEKƏDİŞ	sif.;
YEKƏDİŞ(Lİ)	sif.;
YEKƏDİŞLİ	sif.;
YEKƏGÖZ	sif.;
YEKƏGÖZLÜ	sif.;
YEKƏL	f.;
YEKƏLMƏ	f.;
YEKƏLMƏK	f.;
YEKƏLT	f.;
YEKƏLTMƏ	f.;
YEKƏLTMƏK	f.;
YEKƏLİK	is.;
YEKƏLİKDƏ	zer.;
YEKƏLƏN	f.;
YEKƏLƏNDİR	f.;
YEKƏLƏNDİRMƏ	f.;
YEKƏLƏNDİRMƏK	f.;
YEKƏLƏNDİRİL	f.;
YEKƏLƏNDİRİLMƏ	f.;
YEKƏLƏNDİRİLMƏK	f.;
YEKƏLƏNMƏ	f.;
YEKƏLƏNMƏK	f.;
YEKƏLƏT	f.;
YEKƏLƏTMƏ	f.;
YEKƏLƏTMƏK	f.;
YEKƏPƏR	is.;sif.;
YEKƏPƏRLİK	is.;
YEKƏQANAD	sif.;
YEKƏQANAD(LI)	sif.;
YEKƏQANADLI	sif.;
YEKƏQARIN	sif.;
YEKƏQARINLI	sif.;
YEKƏQAŞ	sif.;
YEKƏQAŞLI	sif.;
YEKƏQULAQ	sif.;
YEKƏQULAQ(LI)	sif.;
YEKƏQULAQLI	sif.;
YEKƏQUYRUQ	sif.;
YEKƏQUYRUQLU	sif.;
YEKƏRAQ	sif.;
YEKƏSAQQAL	sif.;
YEKƏSAQQALLI	sif.;
YEKƏXANA	sif.;
YEKƏXANA-YEKƏXANA	zer.;
YEKƏXANALAN	sif.;
YEKƏXANALANMAQ	f.;
YEKƏXANALIQ	is.;
YEKƏYANAQ	sif.;
YEKƏYANAQ(LI)	sif.;
YEKƏYANAQLI	sif.;
