YOX	ed.;
YOX-YOX	ba.;
YOXALMAQ	f.;
YOXALTMAQ	f.;
YOXLA	f.;
YOXLADILMAQ	f.;
YOXLAMA-NƏZARƏT	is.;
YOXLAMA-PAYLAMA	is.;
YOXLAMAQ	f.;
YOXLAN	f.;
YOXLANIL	f.;
YOXLANIŞ	f.;
YOXLAT	f.;
YOXLATDIR	f.;
YOXLATDIRIL	f.;
YOXLAYICI	sif.;
YOXLAYIŞ	is.;
YOXLUQ	is.;
YOXSA	ba.;
YOXSUL	is.;sif.;
YOXSULLAN	f.;
YOXSULLANMAQ	f.;
YOXSULLAŞ	f.;
YOXSULLAŞDIR	f.;
YOXSULLAŞDIRIL	f.;
YOXSULLAŞDIRILMAQ	f.;
YOXSULLAŞDIRMAQ	f.;
YOXSULLAŞMAQ	f.;
YOXSULLUQ	is.;
YOXUŞ	is.;sif.;
YOXUŞ-ENİŞ	is.; 
YOXUŞLU	sif.;
YOXUŞLU-ENİŞLİ	sif.;
YOXUŞLULUQ	is.;
YOXUŞLUQ	is.;
YOXUŞSUZ	sif.;
