YÜK	f.;is.;
YÜK-NƏQLİYYAT	is.;
YÜKALAN	is.;
YÜKALTI	is.;
YÜKBOŞALDAN	is.;
YÜKBOŞALTMA	is.;
YÜKDAŞIMA	is.;
YÜKDAŞIYAN	sif.;
YÜKDAŞIYICI	is.;
YÜKDOLDURMA	is.;
YÜKGÖNDƏRƏN	is.;
YÜKGÖTÜRMƏ	is.;
YÜKLÜ	sif.;
YÜKLÜK	is.;
YÜKLƏ	f.;
YÜKLƏDİL	f.;
YÜKLƏDİLMƏ	f.;
YÜKLƏDİLMƏK	f.;
YÜKLƏMƏ	f.;
YÜKLƏMƏ-BOŞALTMA	is.;
YÜKLƏMƏK	f.;
YÜKLƏN	f.;
YÜKLƏNMİŞ	f.;
YÜKLƏNMƏ	f.;
YÜKLƏNMƏK	f.;
YÜKLƏT	f.;
YÜKLƏTDİR	f.;
YÜKLƏTDİRMƏ	f.;
YÜKLƏTMƏ	f.;
YÜKLƏTMƏK	f.;
YÜKLƏYİCİ	sif.;
YÜKQALDIRAN	sif.;
YÜKQALDIRICI	is.;
YÜKQALDIRMA	is.;
YÜKQƏBULETDİRİCİ	is.;
YÜKSÜZ	sif.;zer.;
YÜKSƏK	sif.;
YÜKSƏKBOY	sif.;
YÜKSƏKBOYLU	sif.;
YÜKSƏKCƏ	sif.;
YÜKSƏKDƏN	zer.;
YÜKSƏKGƏRGİNLİKLİ	sif.;
YÜKSƏKKALORİLİ	sif.;
YÜKSƏKKARBONLU	sif.;
YÜKSƏKKEYFİYYƏTLİ	sif.;
YÜKSƏKKEÇİDLİ	sif.;
YÜKSƏKKONTRAS	sif.;
YÜKSƏKKÜKÜRDLÜ	sif.;
YÜKSƏKLİK	is.;
YÜKSƏKLİKÖLÇƏN	is.;
YÜKSƏKMAAŞLI	sif.;
YÜKSƏKMOLEKULLU	sif.;
YÜKSƏKMƏHSULLU	sif.;
YÜKSƏKOKTANLI	sif.;
YÜKSƏKSÜRƏTLİ	sif.;
YÜKSƏKTEZLİKLİ	sif.;
YÜKSƏKTƏZYİQLİ	sif.;
YÜKSƏKVOLTLU	sif.;
YÜKSƏKVƏZİFƏLİ	sif.;
YÜKSƏKİXTİSASLI	sif.;
YÜKSƏL	f.;
YÜKSƏLDİL	f.;
YÜKSƏLDİLMƏ	f.;
YÜKSƏLDİLMƏK	f.;
YÜKSƏLMƏ	f.;
YÜKSƏLMƏK	f.;
YÜKSƏLT	f.;
YÜKSƏLTMƏ	f.;
YÜKSƏLTMƏK	f.;
YÜKSƏLİŞ	f.;
YÜKSƏLƏN	f_sif.;
YÜKTUTAN	is.;
YÜKTUTUMU	is.;
YÜKVURAN	is.;
YÜKVURMA	is.;
YÜKVURMA-YÜKBOŞALTMA	is.;
YÜKÇÜ	is.;
YÜKÇÜLÜK	is.;
