ZOR	f.;is.;sif.;zer.;
ZOR-GÜC	zer.;
ZORAKI	sif.;
ZORAKILIQ	is.;
ZORBA	sif.;
ZORBACA	sif.;
ZORBALAN	f.;
ZORBALANMA	f_is.;
ZORBALANMAQ	f.;
ZORBALAT	f.;
ZORBALAŞ	f.;
ZORBALAŞDIR	f.;
ZORBALAŞDIRIL	f.;
ZORBALAŞDIRILMA	f_is.;
ZORBALAŞDIRILMAQ	mech.;
ZORBALAŞDIRMA	f_is.;
ZORBALAŞDIRMAQ	f.;
ZORBALAŞMA	f_is.;
ZORBALAŞMAQ	f.;
ZORBALIQ	is.;
ZORBAZOR	is.;
ZORBAZORLUQ	is.;
ZORLA	f.;
ZORLA	zer.;
ZORLAMA	f.is.;zer.;
ZORLAMAQ	f.;
ZORLAN	f.;
ZORLANMA	f_is.;
ZORLANMAQ	f.;mech.;
ZORLAT	f.;
ZORLATMA	f_is.;
ZORLATMAQ	icb.;
ZORLAŞ	f.;
ZORLAŞMA	f_is.;
ZORLAŞMAQ	f.;mech.;
ZORLU	sif.;
ZORLULUQ	is.;
ZORLUQ	zer.;is.;
ZORLUQLA	zer.;
ZORRAMA	f.is.;zer.;
ZORSUZ	sif.;
ZORXANA	is.;
