ZƏİF	zer.;f.;is.;sif.;
ZƏİFCƏ	sif.;
ZƏİFHƏLLOLAN	sif.;
ZƏİFLİK	is.;
ZƏİFLƏ	f.;
ZƏİFLƏDİCİ	sif.;
ZƏİFLƏDİL	f.;
ZƏİFLƏDİLMƏ	f_is.;
ZƏİFLƏDİLMƏK	mech.;
ZƏİFLƏMƏ	f_is.;
ZƏİFLƏMƏK	f.;
ZƏİFLƏN	f.;
ZƏİFLƏNDİR	f.;
ZƏİFLƏNDİRMƏ	f.;is.;
ZƏİFLƏNDİRMƏK	f.;
ZƏİFLƏNDİRİL	f.;
ZƏİFLƏNDİRİLMƏ	f_is.;
ZƏİFLƏNDİRİLMƏK	mech.;
ZƏİFLƏNMƏ	f_is.;
ZƏİFLƏNMƏK	f.;
ZƏİFLƏT	f.;
ZƏİFLƏTMƏ	f_is.;
ZƏİFLƏTMƏK	f.;
ZƏİFLƏŞ	f.;
ZƏİFLƏŞDİR	f.;
ZƏİFLƏŞDİRMƏ	f_is.;
ZƏİFLƏŞDİRMƏK	f.;
ZƏİFLƏŞDİRİCİ	sif.;
ZƏİFLƏŞDİRİL	f.;
ZƏİFLƏŞDİRİLMƏ	f_is.;
ZƏİFLƏŞDİRİLMƏK	mech.;
ZƏİFLƏŞMƏ	f_is.;
ZƏİFLƏŞMƏK	f.;
ZƏİFÜLMƏZAC	sif.;
ZƏİFÜLMƏZACLIQ	is.;
ZƏİFƏLAQƏLİ	sif.;
