ÇİRK	is.;sif.;
ÇİRK-PAS	is.;
ÇİRK-PAS(AQ)	is.;
ÇİRK-PASLI	sif.;
ÇİRKAB	is.;
ÇİRKAPARAN	is.;
ÇİRKGÖTÜRMƏYƏN	sif.;
ÇİRKGÖTÜRƏN	sif.;
ÇİRKLİ	sif.;
ÇİRKLİ-PASLI	sif.;
ÇİRKLİK	is.;
ÇİRKLƏN	f.;
ÇİRKLƏNDİR	f.;
ÇİRKLƏNDİRMƏ	f.;
ÇİRKLƏNDİRMƏK	f.;
ÇİRKLƏNDİRİCİ	sif.;
ÇİRKLƏNDİRİL	f.;
ÇİRKLƏNDİRİLMƏ	f.;
ÇİRKLƏNMƏ	f.;
ÇİRKLƏNMƏK	f.;
ÇİRKLƏT	f.;
ÇİRKLƏTMƏ	f.;
ÇİRKLƏŞ	f.;
ÇİRKLƏŞMƏ	f.;
ÇİRKİN	sif.;
ÇİRKİNLİK	is.;
ÇİRKİNLƏŞ	f.;
ÇİRKİNLƏŞDİR	f.;
ÇİRKİNLƏŞDİRMƏ	f.;
ÇİRKİNLƏŞDİRİL	f.;
ÇİRKİNLƏŞDİRİLMƏ	f.;
ÇİRKİNLƏŞMƏ	f.;
ÇİRKİNLƏŞMƏK	f.;
ÇİRKƏTAB	sif.;
ÇİRTMƏK	is.;
ÇİRİŞ	is.;
ÇİRİŞ	is.;
ÇİRİŞLİ	sif.;
ÇİRİŞLƏ	f.;
ÇİRİŞLƏMƏ	f.;
ÇİRİŞLƏN	f.;
ÇİRİŞLƏNMƏ	f.;
ÇİRİŞLƏT	f.;
ÇİRİŞLƏTMƏ	f.;
ÇİRİŞOTU	is.;
