ÇƏP	is.;sif.;
ÇƏP-ÇƏP	zer.;
ÇƏPBUCAQLI	sif.;
ÇƏPDİR	f.;
ÇƏPDİŞ	sif.;
ÇƏPDİŞLİ	sif.;
ÇƏPGÖZ	sif.;
ÇƏPGÖZLÜ	sif.;
ÇƏPGÖZLÜK	is.;
ÇƏPKƏN	is.;
ÇƏPKƏNLİ	sif.;
ÇƏPLİK	is.;
ÇƏPLİLİK	is.;
ÇƏPLƏ	f.;
ÇƏPLƏMƏ	f.;
ÇƏPLƏT	f.;
ÇƏPLƏTMƏ	f.;
ÇƏPLƏŞ	f.;
ÇƏPLƏŞDİR	f.;
ÇƏPLƏŞDİRMƏ	f.;
ÇƏPLƏŞDİRİL	f.;
ÇƏPLƏŞDİRİLMƏ	f.;
ÇƏPLƏŞMƏ	f.;
ÇƏPLƏŞMƏK	f.;
ÇƏPMİL(Lİ)	sif.;
ÇƏPÇİK	is.;
ÇƏPİK	is.;
ÇƏPİK	is.;
ÇƏPİNƏ	zer.;
ÇƏPİŞ	is.;
ÇƏPİŞOTU	is.;
ÇƏPƏKİ	zer.;
ÇƏPƏKİLİK	is.;
ÇƏPƏL	is.;
ÇƏPƏNDAZ	is.;
ÇƏPƏNDAZI	zer.;
ÇƏPƏR	is.;
ÇƏPƏRDİBİ	is.;
ÇƏPƏRLİ	sif.;
ÇƏPƏRLİLİK	is.;
ÇƏPƏRLƏ	f.;
ÇƏPƏRLƏMƏ	f.;
ÇƏPƏRLƏMƏK	f.;
ÇƏPƏRLƏN	f.;
ÇƏPƏRLƏNMİŞ	f.;
ÇƏPƏRLƏNMƏ	f.;
ÇƏPƏRLƏNMƏK	f.;
ÇƏPƏRLƏT	f.;
ÇƏPƏRLƏTMƏ	f.;
