ÖLÜ	is.;sif.;
ÖLÜB-DİRİLMƏ	f.;
ÖLÜB-DİRİLMƏK	f.;
ÖLÜB-ÖLDÜR	f.;
ÖLÜB-ÖLDÜRMƏ	f.;
ÖLÜB-ÖLDÜRMƏK	f.;
ÖLÜB-İTƏN	f.;is.;
ÖLÜBAŞ	sif.;
ÖLÜCƏSİNƏ	zer.;
ÖLÜDOĞAN	sif.;
ÖLÜDOĞULMA	is.;
ÖLÜGÖTÜRMƏ	is.;
ÖLÜKSÜNMƏ	f.;
ÖLÜKSÜNMƏK	f.;
ÖLÜLÜK	sif.;
ÖLÜM	is.;
ÖLÜM-DİRİM	is.;
ÖLÜM-QALIM	is.;
ÖLÜM-ZÜLÜM	zer.;
ÖLÜM-İTİM	is.;
ÖLÜM-ƏCƏL	is.;
ÖLÜMCÜL	sif.;
ÖLÜMCÜLLÜK	is.;
ÖLÜMLÜ	sif.;
ÖLÜMQABAĞI	sif.;zer.;
ÖLÜMSAÇAN	sif.;
ÖLÜMSÜZ	sif.;
ÖLÜMSÜZLÜK	is.;
ÖLÜMSÜZLƏŞMİŞ	f_sif.;
ÖLÜNCƏ	zer.;
ÖLÜSOYAN	is.;
ÖLÜSOYANLIQ	is.;
ÖLÜVAY	sif.;
ÖLÜVAYLIQ	is.;
ÖLÜXANA	is.;
ÖLÜYARMA	is.;
ÖLÜYUYAN	is.;
ÖLÜŞ	is.;
ÖLÜŞKƏ	f.;
ÖLÜŞKƏMƏ	f.;
ÖLÜŞKƏMƏK	f.;
ÖLÜŞKƏT	f.;
ÖLÜŞKƏTMƏ	f.;
