ÖZÜ-ÖZÜNDƏN	zer.;
ÖZÜALIŞAN	sif.;
ÖZÜAÇILAN	sif.;
ÖZÜBOŞALDAN	sif.;
ÖZÜBOŞALDICI	sif.;
ÖZÜDANIŞAN	sif.;
ÖZÜDOLAN	sif.;
ÖZÜDOLMA	is.;
ÖZÜGEDƏN	sif.;
ÖZÜHƏRƏKƏTEDƏN	sif.;
ÖZÜKÖKLƏNƏN	sif.;
ÖZÜKÖZƏRƏN	sif.;
ÖZÜL	is.;
ÖZÜLDAŞI	is.;
ÖZÜLLÜ	sif.;
ÖZÜLLÜLÜK	is.;
ÖZÜLSÜZ	sif.;
ÖZÜLSÜZLÜK	is.;
ÖZÜLTİKƏN	is.;
ÖZÜLÇÜ	is.;
ÖZÜMLÜ	sif.;
ÖZÜMLÜLÜK	is.;
ÖZÜMLƏŞMİŞ	f_sif.;
ÖZÜMÇÜLÜK	is.;
ÖZÜMÜNKÜ	sif.;
ÖZÜMÜZÜNKÜ	sif.;
ÖZÜMÜZÜNKÜLƏŞMİŞ	f_sif.;
ÖZÜMƏRKƏZLƏYƏN	sif.;
ÖZÜNDARTIM	is.;
ÖZÜNDƏNBƏY	is.;
ÖZÜNDƏNCÜCƏRMƏ	is.;
ÖZÜNDƏNGETMƏ	is.;
ÖZÜNDƏNRAZI	sif.;
ÖZÜNDƏNRAZILIQ	is.;
ÖZÜNLƏŞ	f.;
ÖZÜNÜAPARMA	is.;
ÖZÜNÜBƏNDETMƏ	is.;
ÖZÜNÜBƏRPA	is.;
ÖZÜNÜDARTAN	sif.;
ÖZÜNÜDƏRK	is.;
ÖZÜNÜDƏRKETMƏ	is.;
ÖZÜNÜFƏDALIQ	is.;
ÖZÜNÜGERÇƏKLƏŞDİRMƏ	is.;
ÖZÜNÜKƏŞF	is.;
ÖZÜNÜMALİYYƏLƏŞDİRMƏ	is.;
ÖZÜNÜMASAJLAMA	is.;
ÖZÜNÜMAYALAMA	is.;
ÖZÜNÜMÜDAFİƏ	is.;
ÖZÜNÜMÜHAKİMƏ	is.;
ÖZÜNÜMÜŞAHİDƏ	is.;
ÖZÜNÜMƏHV	is.;
ÖZÜNÜMƏŞQ	is.;
ÖZÜNÜNKÜ	ev.;
ÖZÜNÜNKÜLƏŞDİR	f.;
ÖZÜNÜNKÜLƏŞDİRMƏ	f.;
ÖZÜNÜQİYMƏTLƏNDİR	is.;
ÖZÜNÜQİYMƏTLƏNDİRMƏ	is.;
ÖZÜNÜRƏNGLƏYƏN	is.;
ÖZÜNÜSIĞORTA	is.;
ÖZÜNÜSIĞORTALAMA	is.;
ÖZÜNÜTORMOZLAYAN	is.;
ÖZÜNÜTOZLAMA	is.;
ÖZÜNÜTƏCRİD	is.;
ÖZÜNÜTƏHLİL	is.;
ÖZÜNÜTƏMİZLƏMƏ	is.;
ÖZÜNÜTƏNQİD	is.;
ÖZÜNÜTƏNZİM	is.;
ÖZÜNÜTƏNZİMLƏMƏ	is.;
ÖZÜNÜTƏRBİYƏ	is.;
ÖZÜNÜTƏSDİQ	is.;
ÖZÜNÜTƏŞKİLETMƏ	is.;
ÖZÜNÜYANDIRMA	is.;
ÖZÜNÜÇƏKMƏ	is.;
ÖZÜNÜÇƏKƏN	sif.;
ÖZÜNÜÖLDÜRMƏ	is.;
ÖZÜNÜÖYMƏKLİK	is.;
ÖZÜNÜİDARƏ	is.;
ÖZÜNÜİDARƏETMƏ	is.;
ÖZÜNÜİDARƏÇİLİK	is.;
ÖZÜNÜİFADƏ	is.;
ÖZÜNÜİNANDIRMA	is.;
ÖZÜNÜİNKİŞAF	is.;
ÖZÜNƏBƏRPAOLUNMA	is.;
ÖZÜNƏBƏY	is.;
ÖZÜNƏEKRANLANMA	is.;
ÖZÜNƏGÜVƏNMƏ	is.;
ÖZÜNƏHAKİM	sif.;
ÖZÜNƏHÖRMƏT	is.;
ÖZÜNƏKORREKSİYA	is.;
ÖZÜNƏMƏXSUS	sif.;
ÖZÜNƏMƏXSUSLUQ	is.;
ÖZÜNƏNƏZARƏT	is.;
ÖZÜNƏQİYMƏT	is.;
ÖZÜNƏTARAZLAŞDIRMA	is.;
ÖZÜNƏTƏHSİL	is.;
ÖZÜNƏTƏLQİN	is.;
ÖZÜNƏTƏSİR	is.;
ÖZÜNƏTƏSİRLƏNMƏ	is.;
ÖZÜNƏVURĞUNLUQ	is.;
ÖZÜNƏXASLIQ	is.;
ÖZÜNƏXİDMƏT	is.;
ÖZÜNƏÇƏKMƏ	is.;
ÖZÜNƏÖYRƏDƏN	sif.;
ÖZÜNƏİDARƏ	is.;
ÖZÜNƏİNAM	is.;
ÖZÜNƏİNDUKSİYA	is.;
ÖZÜQALXAN	sif.;
ÖZÜQURUYAN	sif.;
ÖZÜRƏNGLƏYƏN	sif.;
ÖZÜSAZLANAN	sif.;
ÖZÜSULANMA	is.;
ÖZÜSÖNMƏYƏN	sif.;
ÖZÜSÖNƏN	sif.;
ÖZÜTABLANAN	sif.;
ÖZÜTORMOZLANAN	sif.;
ÖZÜTUTAN	sif.;
ÖZÜTUŞLAMA	is.;
ÖZÜTUŞLANAN	sif.;
ÖZÜTİKƏN	sif.;
ÖZÜTƏMİZLƏNMƏ	is.;
ÖZÜTƏMİZLƏNƏN	sif.;
ÖZÜTƏSİRLƏNƏN	sif.;
ÖZÜTƏŞKİLLƏNƏN	sif.;
ÖZÜUYĞUNLAŞAN	sif.;
ÖZÜYAYILAN	sif.;
ÖZÜYAZAN	sif.;
ÖZÜYAĞLAYAN	sif.;
ÖZÜYERLƏŞƏN	sif.;
ÖZÜYERİYƏN	sif.;
ÖZÜYONAN	sif.;
ÖZÜYÜKBOŞALDAN	sif.;
ÖZÜİDARƏOLUNMA	is.;
ÖZÜİRƏLİLƏYƏN	sif.;
ÖZÜİTİLƏNMƏ	sif.;
ÖZÜİTƏLƏNƏN	sif.;
ÖZÜİŞIQLANAN	sif.;
ÖZÜİŞLƏYƏN	sif.;
ÖZÜİŞƏGİRƏN	sif.;
