İKİ	miqd_say.;zer.;
İKİ-ÜÇ	say;
İKİ-İKİ	zer.;
İKİADAMLIQ	sif.;
İKİADLI	sif.;
İKİAKTLI	sif.;
İKİARVADLI	sif.;
İKİARVADLI	sif.;
İKİARVADLILIQ	is.;
İKİARVADLILIQ	is.;
İKİARŞINLIQ	sif.;
İKİATLI	sif.;
İKİATLI	sif.;
İKİATOMLU	sif.;
İKİATOMLU	sif.;
İKİAVARLI	sif.;
İKİAVARLI	sif.;
İKİAYAQ	sif.;
İKİAYAQLI	sif.;
İKİAYAQLI	sif.;
İKİAYAQLIQ	is.;
İKİAYLIQ	sif.;
İKİAYLIQ	sif.;
İKİAĞIZLI	sif.;
İKİBACILI	sif.;
İKİBARABANLI	sif.;
İKİBARMAQLI	sif.;
İKİBARMAQLI	sif.;
İKİBAŞA	zer.;
İKİBAŞA	zer.;
İKİBAŞLI	zer.;sif.;
İKİBAŞLI	zer.;sif.;
İKİBAŞLIQ	is.;
İKİBAŞLIQLI	sif.;
İKİBORTLU	sif.;
İKİBORULU	sif.;
İKİBOYUNLU	sif.;
İKİBOĞAZ	sif.;
İKİBOĞAZLI	sif.;
İKİBOĞAZLI	sif.;
İKİBUCAQLI	sif.;
İKİBUCAQLI	sif.;
İKİBUYNUZ	sif.;
İKİBUYNUZ(LU)	sif.;
İKİBUYNUZ(LU)	sif.;
İKİBUYNUZLU	sif.;
İKİBÖLGÜLÜ	sif.;
İKİBÖLMƏLİ	sif.;
İKİBƏDƏNLİ	sif.;
İKİBƏNDLİ	ed.;sif.;
İKİBƏNDLİ	ed.;sif.;
İKİBƏTNLİ	sif.;
İKİBƏTNLİLƏR	is.;
İKİBƏTNLİLƏR	is.;
İKİCANLI	sif.;
İKİCANLI	sif.;
İKİCANLILIQ	is.;
İKİCANLILIQ	is.;
İKİCIĞIRLI	sif.;
İKİCİLDLİ	sif.;
İKİCİLDLİ	sif.;
İKİCİLDLİK	is.;
İKİCİLDLİK	is.;
İKİCİLOVLU	sif.;
İKİCİNSLİ	sif.;
İKİCİNSLİ	sif.;
İKİCİNSLİLİK	is.;
İKİCİNSLİLİK	is.;
İKİCİNSİYYƏTLİ	sif.;
İKİCİNSİYYƏTLİ	sif.;
İKİCİNSİYYƏTLİLİK	is.;
İKİCİNSİYYƏTLİLİK	is.;
İKİCƏBHƏLİ	sif.;
İKİCƏHƏTLİ	sif.;
İKİCƏRGƏ	zer.;
İKİCƏRGƏ	zer.;
İKİCƏRGƏLİ	sif.;
İKİCƏRGƏLİ	sif.;
İKİCƏRGƏLİLİK	is.;
İKİCƏRGƏLİLİK	is.;
İKİDAMARLI	sif.;
İKİDAYAQLI	sif.;
İKİDAYAQLI	sif.;
İKİDIRNAQLI	sif.;
İKİDIRNAQLI	sif.;
İKİDODAQLI	sif.;
İKİDORLU	sif.;
İKİDORLU	sif.;
İKİDÜYMƏ	sif.;
İKİDÜYMƏ(Lİ)	sif.;
İKİDÜYMƏ(Lİ)	sif.;
İKİDÜYMƏLİ	sif.;
İKİDİBLİ	sif.;
İKİDİBLİ	sif.;
İKİDİLLİ	sif.;
İKİDİLLİ	sif.;
İKİDİLLİLİK	is.;
İKİDİLLİLİK	is.;
İKİDİSKLİ	sif.;
İKİDİVARLI	sif.;
İKİDİVARLI	sif.;
İKİDİŞLİ	sif.;
İKİDİŞLİ	sif.;
İKİDƏ-BİRDƏ	zer.;
İKİDƏ-BİRDƏN	zer.;
İKİDƏFƏLİ	sif.;
İKİDƏFƏLİK	sif.;
İKİDƏSTƏLİ	sif.;
İKİDƏSTƏLİ	sif.;
İKİELEKTRODLU	sif.;
İKİELEKTRODLU	sif.;
İKİELEMENTLİ	sif.;
İKİELEMENTLİ	sif.;
İKİENİŞLİ	sif.;
İKİEVCİKLİ	is.;
İKİEVCİKLİ	is.;
İKİEVCİKLİ	sif.;
İKİEVCİKLİ	sif.;
İKİEVCİKLİLİK	is.;
İKİEVLİ	is.;
İKİEVLİ	is.;
İKİEVLİ	sif.;
İKİEVLİ	sif.;
İKİEVLİLİK	is.;
İKİEVLİLİK	is.;
İKİFAMİLİYALI	sif.;
İKİFAMİLİYALI	sif.;
İKİFAZALI	sif.;
İKİFAZALI	sif.;
