İTİ	zer.;sif.;
İTİ-İTİ	zer.;
İTİAXAN	sif.;
İTİB-BAT	f.;
İTİBAXIŞLI	sif.;
İTİBAŞLI	sif.;
İTİBAŞLIQLI	sif.;
İTİBUCAQ	is.;
İTİBUCAQ(LI)	is.;sif.;
İTİBUCAQLI	sif.;
İTİBURUN	sif.;
İTİBURUNLU	sif.;
İTİBUYNUZ	sif.;
İTİBUYNUZ(LU)	sif.;
İTİBUYNUZLU	sif.;
İTİCƏ	sif.;zer.;
İTİDIRNAQ	sif.;
İTİDIRNAQLI	sif.;
İTİDİLLİ	sif.;
İTİDİMDİK	sif.;
İTİDİMDİKLİ	sif.;
İTİDİŞ	sif.;
İTİDİŞLİ	sif.;
İTİDƏMİR	is.;
İTİGEDƏN	sif.;
İTİGÖRƏN	sif.;
İTİGÖZ	sif.;
İTİGÖZ(LÜ)	sif.;
İTİGÖZLÜ	sif.;
İTİGÖZLÜLÜK	is.;
İTİK	is.;
İTİKLİ	sif.;
İTİKÇİ	is.;
İTİL	f.;
İTİLMƏ	f.is.;
İTİLMƏK	f.;
İTİLİK	is.;
İTİLƏ	f.;
İTİLƏLƏK	sif.;
İTİLƏLƏKLİ	sif.;
İTİLƏMƏ	f.is.;
İTİLƏMƏK	f.;
İTİLƏN	f.;
İTİLƏNMİŞ	f.;
İTİLƏNMƏ	f.is.;
İTİLƏNMƏK	f.;
İTİLƏT	f.;
İTİLƏTDİR	f.;
İTİLƏTDİRMƏ	f.is.;
İTİLƏTDİRMƏK	f.;
İTİLƏTMƏ	f.is.;
İTİLƏTMƏK	f.;
İTİLƏYİCİ	sif.;
İTİLƏŞ	f.;
İTİLƏŞDİR	f.;
İTİLƏŞDİRMƏ	f.is.;
İTİLƏŞDİRMƏK	f.;
İTİLƏŞDİRİL	f.;
İTİLƏŞDİRİLMƏ	f.is.;
İTİLƏŞDİRİLMƏK	f.;
İTİLƏŞMƏ	f.is.;
İTİLƏŞMƏK	f.;
İTİM-İTİM	zer.;
İTİMSİZLİK	is.;
İTİPƏRLİ	sif.;
İTİQANADLI	sif.;
İTİQAYIQ	sif.;
İTİQULAQLI	sif.;
İTİR	f.;
İTİRMƏ	f.is.;
İTİRMƏK	f.;
İTİRTDİR	f.;
İTİRTDİRMƏ	f.is.;
İTİRTDİRMƏK	icb.;
İTİRTMƏK	icb.;
İTİRİL	f.;
İTİRİLMƏ	f.is.;
İTİRİLMƏK	f.;
İTİRƏ-İTİRƏ	zer.;
İTİUC	sif.;
İTİUC(LU)	sif.;
İTİUCLU	sif.;
İTİYARPAQ	sif.;
İTİYARPAQ(LI)	is.;sif.;
İTİYARPAQLI	sif.;
İTİŞ	is.;
