ŞƏKK	f.;is.;
ŞƏKK-ŞÜBHƏ	is.;
ŞƏKK-ŞÜBHƏSİZ	sif.;zer.;
ŞƏKKAK	f.;is.;sif.;
ŞƏKKAKLIQ	is.;
ŞƏKLİ	f.;is.;sif.;
ŞƏKLİ	sif.;
ŞƏKLƏ	f.;
ŞƏKLƏMƏ	is.;
ŞƏKLƏMƏK	is.;
ŞƏKLƏN	zer.;
ŞƏKLƏNDİR	f.;
ŞƏKLƏNDİRMƏ	is.;
ŞƏKLƏNDİRMƏK	f.;
ŞƏKLƏNDİRİL	f.;
ŞƏKLƏNDİRİLMƏ	f.;
ŞƏKLƏNMƏ	is.;
ŞƏKLƏNMƏK	f.;
ŞƏKLƏT	f.;
ŞƏKLƏTMƏ	is.;
ŞƏKLƏTMƏK	f.;
ŞƏKSİZ	zer.;
ŞƏKSİZ-ŞÜBHƏSİZ	zer.;
ŞƏKVA	is.;
ŞƏKİL	is.;
ŞƏKİL-ŞƏMAYİL	is.;
ŞƏKİLALTI	sif.;
ŞƏKİLCƏ	zer.;
ŞƏKİLDƏN-ŞƏKLƏ	zer.;
ŞƏKİLDƏYİŞMƏ	is.;
ŞƏKİLDƏYİŞƏN	sif.;
ŞƏKİLLİ	sif.;
ŞƏKİLLİLİK	is.;
ŞƏKİLLƏN	f.;
ŞƏKİLPƏRƏST	sif.;
ŞƏKİLPƏRƏSTLİK	is.;
ŞƏKİLSATAN	is.;
ŞƏKİLSİZ	sif.;
ŞƏKİLÇİ	is.;
ŞƏKİLÇİLİK	is.;
ŞƏKİLÇİLƏŞ	f.;
ŞƏKİLÇİLƏŞMƏ	is.;
ŞƏKİLÇİLƏŞMƏK	f.;
ŞƏKİLÇƏKMƏ	sif.;
ŞƏKİLÇƏKƏN	is.;
ŞƏKƏR	is.;sif.;
ŞƏKƏRARMUDU	is.;
ŞƏKƏRBAĞI	is.;
ŞƏKƏRBURA	is.;
ŞƏKƏRBURALIQ	is.;
ŞƏKƏRBİŞİRMƏ	f.;
ŞƏKƏRDİL	sif.;
ŞƏKƏRDİLLİ	sif.;
ŞƏKƏRLİ	sif.;
ŞƏKƏRLİK	is.;
ŞƏKƏRLİLİK	is.;
ŞƏKƏRLƏ	zer.;
ŞƏKƏRLƏMƏ	is.;
ŞƏKƏRLƏMƏK	f.;
ŞƏKƏRLƏN	f.;
ŞƏKƏRLƏNMƏ	is.;
ŞƏKƏRLƏNMƏK	f.;
ŞƏKƏRLƏŞ	f.;
ŞƏKƏRLƏŞDİRMƏ	f.;
ŞƏKƏRLƏŞMƏ	f.;
ŞƏKƏRÇÖRƏYİ	is.;
ŞƏKƏRİ	sif.;
