ƏDƏ	nida.;
ƏDƏB	is.;zer.;
ƏDƏB-ƏRKAN	zer.;is.;
ƏDƏB-ƏRKANLI	sif.;
ƏDƏBCƏSİNƏ	zer.;
ƏDƏBGÖZLƏMƏZ	is.;
ƏDƏBGÖZLƏMƏZLİK	is.;
ƏDƏBLİ	zer.;sif.;
ƏDƏBLİ-ƏRKANLI	sif.;
ƏDƏBLİCƏ	zer.;
ƏDƏBLİCƏSİNƏ	zer.;
ƏDƏBLİLİK	is.;
ƏDƏBLƏ	zer.;
ƏDƏBLƏN	f.;
ƏDƏBLƏNDİR	f.;
ƏDƏBLƏNDİRMƏ	f.;
ƏDƏBLƏNDİRMƏK	f.;
ƏDƏBLƏNMƏ	f.;
ƏDƏBLƏNMƏK	f.;
ƏDƏBSİZ	sif.;
ƏDƏBSİZ-ƏDƏBSİZ	zer.;
ƏDƏBSİZCƏ	zer.;
ƏDƏBSİZCƏSİNƏ	zer.;
ƏDƏBSİZLİK	f.;is.;
ƏDƏBİ	sif.;
ƏDƏBİ-BƏDİİ	sif.;
ƏDƏBİ-DRAMATİK	sif.;
ƏDƏBİ-DİDAKTİK	sif.;
ƏDƏBİ-MUSİQİLİ	sif.;
ƏDƏBİ-MƏDƏNİ	sif.;
ƏDƏBİ-TƏNQİDİ	sif.;
ƏDƏBİ-İCTİMAİ	sif.;
ƏDƏBİ-İDEOLOJİ	sif.;
ƏDƏBİLƏŞDİR	f.;
ƏDƏBİLƏŞDİRMƏ	f.;
ƏDƏBİLƏŞDİRMƏK	f.;
ƏDƏBİLƏŞDİRİL	f.;
ƏDƏBİLƏŞDİRİLMƏ	f.;
ƏDƏBİLƏŞDİRİLMƏK	f.;
ƏDƏBİSTAN	is.;
ƏDƏBİYYAT	is.;
ƏDƏBİYYATBAZ	is.;
ƏDƏBİYYATBAZLIQ	is.;
ƏDƏBİYYATLARARASI	sif.;
ƏDƏBİYYATSEVƏR	is.;
ƏDƏBİYYATÇI	is.;
ƏDƏBİYYATÇILIQ	is.;
ƏDƏBİYYATŞÜNAS	is.;
ƏDƏBİYYATŞÜNASLIQ	is.;
ƏDƏD	is.;
ƏDƏDSİZ	sif.;
ƏDƏDİ	sif.;
ƏDƏLLİ-BƏDƏLLİ	sif.;
ƏDƏM	is.;
ƏDƏMGAH	is.;
ƏDƏSƏ	is.;
ƏDƏSƏLİ	sif.;
ƏDƏSƏYƏBƏNZƏR	zer.;
